"Customer Name","order_date","Profit","cumulative_profit"
"Aaron Bergman","2014-02-18","-2.5248000000000022","-5.0496000000000044"
"Aaron Bergman","2014-02-18","-2.5248000000000022","-5.0496000000000044"
"Aaron Bergman","2014-03-07","5.4800999999999966","24.9570000000000226"
"Aaron Bergman","2014-03-07","5.4800999999999966","24.9570000000000226"
"Aaron Bergman","2014-03-07","4.6644000000000005","24.9570000000000226"
"Aaron Bergman","2014-03-07","4.6644000000000005","24.9570000000000226"
"Aaron Bergman","2014-03-07","4.8588000000000164","24.9570000000000226"
"Aaron Bergman","2014-03-07","4.8588000000000164","24.9570000000000226"
"Aaron Bergman","2016-11-10","54.713599999999985","258.6930000000000126"
"Aaron Bergman","2016-11-10","62.15440000000001","258.6930000000000126"
"Aaron Bergman","2016-11-10","54.713599999999985","258.6930000000000126"
"Aaron Bergman","2016-11-10","62.15440000000001","258.6930000000000126"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","121.4416","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","3.3452999999999995","2192.6393999999999990"
"Aaron Hawkins","2014-04-22","3.3452999999999995","2192.6393999999999990"
"Aaron Hawkins","2014-05-13","20.959199999999996","2242.2377999999999910"
"Aaron Hawkins","2014-05-13","3.84","2242.2377999999999910"
"Aaron Hawkins","2014-05-13","20.959199999999996","2242.2377999999999910"
"Aaron Hawkins","2014-05-13","3.84","2242.2377999999999910"
"Aaron Hawkins","2014-10-25","18.528","2279.2937999999999910"
"Aaron Hawkins","2014-10-25","18.528","2279.2937999999999910"
"Aaron Hawkins","2014-12-31","11.474099999999996","2319.6299999999999812"
"Aaron Hawkins","2014-12-31","8.6939999999999991","2319.6299999999999812"
"Aaron Hawkins","2014-12-31","8.6939999999999991","2319.6299999999999812"
"Aaron Hawkins","2014-12-31","11.474099999999996","2319.6299999999999812"
"Aaron Hawkins","2015-12-27","61.38900000000001","2592.7439999999998432"
"Aaron Hawkins","2015-12-27","61.38900000000001","2592.7439999999998432"
"Aaron Hawkins","2015-12-27","75.167999999999921","2592.7439999999998432"
"Aaron Hawkins","2015-12-27","75.167999999999921","2592.7439999999998432"
"Aaron Hawkins","2016-03-20","38.038000000000004","2668.8199999999998512"
"Aaron Hawkins","2016-03-20","38.038000000000004","2668.8199999999998512"
"Aaron Hawkins","2017-12-18","2.3379999999999983","2673.4959999999998478"
"Aaron Hawkins","2017-12-18","2.3379999999999983","2673.4959999999998478"
"Aaron Smayling","2014-07-27","32.2322","64.4644"
"Aaron Smayling","2014-07-27","32.2322","64.4644"
"Aaron Smayling","2016-03-28","7.8500000000000014","80.1644000000000028"
"Aaron Smayling","2016-03-28","7.8500000000000014","80.1644000000000028"
"Aaron Smayling","2016-09-25","84.293999999999969","248.7523999999999408"
"Aaron Smayling","2016-09-25","84.293999999999969","248.7523999999999408"
"Aaron Smayling","2017-01-02","-21.159599999999998","125.7212000000000048"
"Aaron Smayling","2017-01-02","-27.827999999999975","125.7212000000000048"
"Aaron Smayling","2017-01-02","-27.827999999999975","125.7212000000000048"
"Aaron Smayling","2017-01-02","-12.527999999999995","125.7212000000000048"
"Aaron Smayling","2017-01-02","-21.159599999999998","125.7212000000000048"
"Aaron Smayling","2017-01-02","-12.527999999999995","125.7212000000000048"
"Aaron Smayling","2017-08-01","12.700800000000001","-376.8706000000005132"
"Aaron Smayling","2017-08-01","-263.99670000000026","-376.8706000000005132"
"Aaron Smayling","2017-08-01","12.700800000000001","-376.8706000000005132"
"Aaron Smayling","2017-08-01","-263.99670000000026","-376.8706000000005132"
"Aaron Smayling","2017-09-04","-58.71599999999998","-494.3026000000004732"
"Aaron Smayling","2017-09-04","-58.71599999999998","-494.3026000000004732"
"Aaron Smayling","2017-10-03","-6.423300000000026","-507.1492000000005252"
"Aaron Smayling","2017-10-03","-6.423300000000026","-507.1492000000005252"
"Adam Bellavance","2015-09-18","8.7137999999999991","17.4275999999999982"
"Adam Bellavance","2015-09-18","8.7137999999999991","17.4275999999999982"
"Adam Bellavance","2016-03-13","20.7","230.4499999999999982"
"Adam Bellavance","2016-03-13","20.7","230.4499999999999982"
"Adam Bellavance","2016-03-13","44.8896","230.4499999999999982"
"Adam Bellavance","2016-03-13","40.9216","230.4499999999999982"
"Adam Bellavance","2016-03-13","44.8896","230.4499999999999982"
"Adam Bellavance","2016-03-13","40.9216","230.4499999999999982"
"Adam Bellavance","2016-08-29","8.0996999999999986","246.6493999999999954"
"Adam Bellavance","2016-08-29","8.0996999999999986","246.6493999999999954"
"Adam Bellavance","2016-09-01","1.0668","3153.5185999999993894"
"Adam Bellavance","2016-09-01","1415.4295999999997","3153.5185999999993894"
"Adam Bellavance","2016-09-01","1415.4295999999997","3153.5185999999993894"
"Adam Bellavance","2016-09-01","11.543199999999999","3153.5185999999993894"
"Adam Bellavance","2016-09-01","23.086399999999998","3153.5185999999993894"
"Adam Bellavance","2016-09-01","23.086399999999998","3153.5185999999993894"
"Adam Bellavance","2016-09-01","11.543199999999999","3153.5185999999993894"
"Adam Bellavance","2016-09-01","2.3086","3153.5185999999993894"
"Adam Bellavance","2016-09-01","2.3086","3153.5185999999993894"
"Adam Bellavance","2016-09-01","1.0668","3153.5185999999993894"
"Adam Bellavance","2017-05-07","28.7964","3211.1113999999993894"
"Adam Bellavance","2017-05-07","28.7964","3211.1113999999993894"
"Adam Bellavance","2017-09-16","7.2576","3225.6265999999993894"
"Adam Bellavance","2017-09-16","7.2576","3225.6265999999993894"
"Adam Bellavance","2017-11-05","82.2906","4608.7093999999993894"
"Adam Bellavance","2017-11-05","82.2906","4608.7093999999993894"
"Adam Bellavance","2017-11-05","82.2906","4608.7093999999993894"
"Adam Bellavance","2017-11-05","82.2906","4608.7093999999993894"
"Adam Bellavance","2017-11-05","2.0286","4608.7093999999993894"
